Description,Prompt,English
火锅店桌椅残留牛油气味,Hotpot Restaurant Grease Odor,Hotpot Restaurant Grease Odor
健身房更衣柜长期汗酸味,Gym Locker Sweat Smell,Gym Locker Sweat Smell
养狗家庭沙发宠物尿渍味,Dog Urine Sofa Odor,Dog Urine Sofa Odor
梅雨季地下室潮湿霉味,Humid Basement Mold Smell,Humid Basement Mold Smell
海鲜市场鱼腥味渗透墙壁,Fish Market Wall Odor,Fish Market Wall Odor
长途大巴空调循环异味,Coach Air Conditioning Odor,Coach Air Conditioning Odor
烧烤店窗帘吸附油烟味,BBQ Restaurant Curtain Smell,BBQ Restaurant Curtain Smell
吸烟者汽车内饰烟味残留,Car Interior Tobacco Smell,Car Interior Tobacco Smell
垃圾桶周边腐臭扩散,Trash Bin Rotting Smell,Trash Bin Rotting Smell
游泳馆更衣室闷湿氯气味,Swimming Pool Chlorine Odor,Swimming Pool Chlorine Odor
足疗店旧拖鞋发酵臭味,Foot Spa Slipper Odor,Foot Spa Slipper Odor
中药房药材柜陈旧药味,Herbal Medicine Cabinet Smell,Herbal Medicine Cabinet Smell
公厕氨气刺激性气味,Public Toilet Ammonia Smell,Public Toilet Ammonia Smell
KTV地毯酒水泼洒酸味,KTV Carpet Alcohol Smell,KTV Carpet Alcohol Smell
卤味作坊香料沉积气味,Braised Food Workshop Odor,Braised Food Workshop Odor
养猫家庭猫砂盆臭味,Cat Litter Box Odor,Cat Litter Box Odor
实验室动物房排泄物气味,Lab Animal Room Smell,Lab Animal Room Smell
渔船船舱柴油混合腥味,Fishing Boat Cabin Odor,Fishing Boat Cabin Odor
快递站纸箱受潮发霉味,Coupon Damp Box Smell,Coupon Damp Box Smell
烘焙坊烤箱焦糊残留味,Bakery Oven Burnt Smell,Bakery Oven Burnt Smell
美发店染发剂化学气味,Hair Salon Dye Chemical Smell,Hair Salon Dye Chemical Smell
垃圾车压缩舱渗漏臭味,Garbage Truck Compactor Odor,Garbage Truck Compactor Odor
民宿布草间毛巾闷捂味,B&B Linen Room Towel Smell,B&B Linen Room Towel Smell
出租车座椅呕吐物残留,Taxi Seat Vomit Odor,Taxi Seat Vomit Odor
动物园鸟类馆羽毛粉尘,Zoo Bird House Feather Dust,Zoo Bird House Feather Dust
菜市场活禽区粪便臭味,Market Poultry Area Feces Smell,Market Poultry Area Feces Smell
养老院失禁床垫尿臊味,Nursing Home Mattress Odor,Nursing Home Mattress Odor
拳击馆皮革手套汗臭味,Boxing Gym Glove Sweat Smell,Boxing Gym Glove Sweat Smell
水产运输车箱腥臭味,Aquatic Transport Truck Odor,Aquatic Transport Truck Odor
殡仪馆鲜花腐烂混合气味,Funeral Home Flower Decay,Funeral Home Flower Decay
烧烤摊炭火烟熏残留,BBQ Stall Charcoal Smoke Residue,BBQ Stall Charcoal Smoke Residue
学生宿舍运动鞋发酵味,Dorm Sneaker Fermentation,Dorm Sneaker Fermentation
火锅食材冷库冻肉腥味,Hotpot Freezer Meat Smell,Hotpot Freezer Meat Smell
宠物医院手术室消毒水味,Pet Hospital Disinfectant Odor,Pet Hospital Disinfectant Odor
建筑工地临时厕所臭味,Construction Site Toilet Odor,Construction Site Toilet Odor
酱菜厂发酵缸酸腐气味,Pickles Factory Vat Odor,Pickles Factory Vat Odor
网吧键盘食物残渣异味,Internet Cafe Keyboard Crumbs,Internet Cafe Keyboard Crumbs
海鲜烧烤排烟管道油污,Seafood BBQ Exhaust Pipe Grease,Seafood BBQ Exhaust Pipe Grease
健身房瑜伽垫汗渍霉味,Gym Yoga Mat Sweat Mold,Gym Yoga Mat Sweat Mold
酿酒车间粮食发酵酒糟味,Brewery Fermentation Grains Odor,Brewery Fermentation Grains Odor
渔具店钓饵腥臭味,Fishing Tackle Shop Bait Smell,Fishing Tackle Shop Bait Smell
垃圾中转站渗滤液恶臭,Waste Transfer Station Leachate,Waste Transfer Station Leachate
夜市小吃车油污积垢,Night Market Food Cart Grease,Night Market Food Cart Grease
吸烟室窗帘尼古丁沉积,Smoking Room Curtain Nicotine,Smoking Room Curtain Nicotine
游泳池过滤系统氯胺味,Pool Filter Chloramine Odor,Pool Filter Chloramine Odor
足球队更衣室护具酸臭,Soccer Team Locker Gear Smell,Soccer Team Locker Gear Smell
宠物美容室肛门腺液味,Pet Grooming Anal Gland Smell,Pet Grooming Anal Gland Smell
火锅店排风机油脂积聚,Hotpot Exhaust Fan Grease,Hotpot Exhaust Fan Grease
渔船冷藏舱鱼血腥味,Fishing Boat Freezer Blood Smell,Fishing Boat Freezer Blood Smell
垃圾填埋场周边空气污染,Landfill Surrounding Air Pollution,Landfill Surrounding Air Pollution
化妆品柜台试用装异味,Cosmetic Counter Tester Odor,Cosmetic Counter Tester Odor
军训后作训服汗盐结晶,Military Training Sweat Crystals,Military Training Sweat Crystals
实验室生物标本福尔马林,Lab Specimen Formaldehyde Odor,Lab Specimen Formaldehyde Odor
夜市烤鱿鱼车铁板烧焦,Night Market Squid Griddle Burn,Night Market Squid Griddle Burn
动物园猛兽馆粪便骚臭,Zoo Carnivore House Feces Odor,Zoo Carnivore House Feces Odor
养鸽爱好者鸟笼羽粉味,Pigeon Cage Feather Dust Smell,Pigeon Cage Feather Dust Smell
游泳池救生员休息区氯味,Lifeguard Rest Area Chlorine,Lifeguard Rest Area Chlorine
小吃店油炸锅氧化油脂,Snack Shop Frying Oil Rancid,Snack Shop Frying Oil Rancid
长途货车驾驶室烟油味,Truck Cabin Tobacco Tar Smell,Truck Cabin Tobacco Tar Smell
腊肉熏制车间烟雾沉积,Bacon Smoking Room Residue,Bacon Smoking Room Residue
海鲜自助餐台冰鲜腥味,Seafood Buffet Ice Table Smell,Seafood Buffet Ice Table Smell
消防员装备汗馊霉变味,Firefighter Gear Mildew Odor,Firefighter Gear Mildew Odor
古着商店衣物陈旧体味,Vintage Clothing Body Odor,Vintage Clothing Body Odor
烧烤店排烟口地面油渍,BBQ Restaurant Exhaust Grease,BBQ Restaurant Exhaust Grease
菜市场水产区地面血水,Market Seafood Area Blood Water,Market Seafood Area Blood Water
吸烟者书房窗帘焦油沉积,Smoker's Study Curtain Tar,Smoker's Study Curtain Tar
健身房拳击沙袋汗渍味,Gym Punching Bag Sweat Stains,Gym Punching Bag Sweat Stains
宠物店仓鼠木屑尿骚味,Pet Shop Hamster Bedding Smell,Pet Shop Hamster Bedding Smell
火锅店地毯毛肚残渣味,Hotpot Restaurant Tripe Residue,Hotpot Restaurant Tripe Residue
渔船甲板渔网海藻腐臭,Fishing Boat Deck Net Rot,Fishing Boat Deck Net Rot
垃圾车清洗后残留异味,Garbage Truck Cleaning Residue,Garbage Truck Cleaning Residue
烘焙坊奶油变质酸味,Bakery Rancid Cream Smell,Bakery Rancid Cream Smell
美甲店去光水刺鼻气味,Nail Salon Remover Odor,Nail Salon Remover Odor
快递员电动车厢体汗味,Courier E-bike Cabin Sweat,Courier E-bike Cabin Sweat
养鸡场饲料发酵氨气味,Poultry Farm Feed Ammonia,Poultry Farm Feed Ammonia
烧烤碳炉底部灰烬异味,BBQ Charcoal Ash Smell,BBQ Charcoal Ash Smell
潜水服存放柜橡胶闷味,Diving Suit Cabinet Rubber Smell,Diving Suit Cabinet Rubber Smell
军训背包雨水霉变异味,Military Backpack Mold Smell,Military Backpack Mold Smell
海鲜加工厂贝壳类腥臭,Seafood Processing Shellfish Odor,Seafood Processing Shellfish Odor
旧书仓库纸张霉变粉尘,Old Book Warehouse Mold Dust,Old Book Warehouse Mold Dust
夜市臭豆腐摊扩散异味,Stinky Tofu Stall Odor Spread,Stinky Tofu Stall Odor Spread
吸烟者电脑键盘烟灰沉积,Smoker Keyboard Ash Residue,Smoker Keyboard Ash Residue
游泳池厕所尿渍残留味,Pool Toilet Urine Stains,Pool Toilet Urine Stains
养蛇爱好者爬箱排泄物,Snake Terrarium Feces Smell,Snake Terrarium Feces Smell
火锅店排气管油垢酸化,Hotpot Exhaust Pipe Acidification,Hotpot Exhaust Pipe Acidification
渔船冷冻舱鱿鱼墨汁味,Fishing Boat Squid Ink Odor,Fishing Boat Squid Ink Odor
垃圾站塑料焚烧刺鼻味,Waste Plastic Burning Smell,Waste Plastic Burning Smell
烘焙坊巧克力酱变质苦味,Bakery Rancid Chocolate Smell,Bakery Rancid Chocolate Smell
纹身店药水混合皮肤味,Tattoo Shop Solution Odor,Tattoo Shop Solution Odor
快递冷链车厢海鲜融化,Courier Cold Chain Seafood Thaw,Courier Cold Chain Seafood Thaw
养马场马厩粪便堆积,Horse Stable Manure Pile Smell,Horse Stable Manure Pile Smell
烧烤店冷藏柜血水渗漏,BBQ Restaurant Fridge Leakage,BBQ Restaurant Fridge Leakage
军训鞋垫细菌分解脚臭,Military Insoles Bacterial Odor,Military Insoles Bacterial Odor
海鲜大排档地面虾壳腐败,Seafood Stall Shrimp Shell Rot,Seafood Stall Shrimp Shell Rot
古玩店地毯虫蛀霉变味,Antique Shop Carpet Moth Odor,Antique Shop Carpet Moth Odor
